Sido,Gungu,Dong,ComplexName,Trade Type,Building Name,Floor Info,Price (Numeric),Area,Owner,Desc,RegDate,Tag,Direction,PPA
경기도,오산시,가수동,가수주공,매매,104동,1/5,165000000,52.83,DOC,외부샷시등 내부도 올수리 잘되어 있어요,25.04.08,"['25년이상', '올수리', '1층', '소형평수']",남향,10324711.811470756
경기도,오산시,가수동,가수주공,월세,104동,5/5,500/40,52.83,NDOC1,가성비 좋은 투룸 오산역 차량 5분거리 즉시입주,25.03.26,"['25년이상', '소형평수', '탑층', '방두개']",남향,
경기도,오산시,가수동,가수주공,매매,112동,1/5,165000000,52.83,OWNER,샷시 교체 주인거주 깨끗 노약자있는집추천  빠른이사가능,25.03.24,"['25년이상', '1층', '소형평수', '방세개']",남향,10324711.811470756
경기도,오산시,가수동,가수주공,월세,115동,4/5,500/40,52.83,NDOC1,관리 굿 저렴한 가격 선점하세요,25.03.24,"['25년이상', '소형평수', '방세개', '화장실한개']",남향,
경기도,오산시,가수동,가수주공,전세,115동,5/5,500000000000,52.83,DOC,,25.03.27,"['25년이상', '융자금없는', '소형평수', '탑층']",남향,31287005489.305325
경기도,오산시,가수동,가수주공,매매,104동,2/5,178000000,52.83,DOC,kcc외부 샷시 내부 인테리어 잘되어 있어요,25.03.26,"['25년이상', '소형평수', '방두개', '화장실한개']",남향,11138173.954192694
경기도,오산시,가수동,가수주공,매매,115동,2/5,168000000,52.83,DOC,재건축투자로 가성비 좋으며 즉시 입주가능,25.03.26,"['25년이상', '소형평수', '방두개', '화장실한개']",남향,10512433.844406588
경기도,오산시,가수동,가수주공,월세,104동,5/5,500/40,52.83,NONE,,25.03.29,"['25년이상', '융자금적은', '소형평수', '탑층']",남향,
경기도,오산시,가수동,가수주공,매매,104동,1/5,165000000,52.83,NONE,,25.03.21,"['25년이상', '1층', '소형평수', '방세개']",남향,10324711.811470756
경기도,오산시,가수동,가수주공,매매,103동,4/5,170000000,52.5,OWNER,세끼고 수리됨 앞동 로얄 기보증금 8천 갭투가능,25.04.08,"['25년이상', '소형평수', '방세개', '화장실한개']",남향,10704446.666666666
