Sido,Gungu,Dong,ComplexName,Trade Type,Building Name,Floor Info,Price (Numeric),Area,Owner,Desc,RegDate,Tag,Direction,PPA
경기도,오산시,가수동,가수주공,월세,104동,5/5,500/40,52.83,NDOC1,가성비 좋은 투룸 오산역 차량 5분거리 즉시입주,25.02.27,"['25년이상', '소형평수', '탑층', '방두개']",남향,
경기도,오산시,가수동,가수주공,매매,115동,2/5,168000000,52.83,DOC,즉시입주가능     급매가격,25.03.08,"['25년이상', '급매', '소형평수', '방세개']",남향,10512433.844406588
경기도,오산시,가수동,가수주공,월세,104동,4/5,500/45,52.83,DOC,,25.03.08,"['25년이상', '융자금없는', '소형평수', '방세개']",남향,
경기도,오산시,가수동,가수주공,월세,115동,4/5,500/40,52.83,NDOC1,관리 굿 저렴한 가격 선점하세요,25.02.24,"['25년이상', '소형평수', '방세개', '화장실한개']",남향,
경기도,오산시,가수동,가수주공,매매,115동,4/5,170000000,52.83,OWNER,재건축 추진중 상태깨끗 입주도 가능,25.02.24,"['25년이상', '소형평수', '방세개', '화장실한개']",남향,10637581.86636381
경기도,오산시,가수동,가수주공,월세,104동,5/5,500/40,52.83,NONE,,25.02.23,"['25년이상', '융자금적은', '소형평수', '탑층']",남향,
경기도,오산시,가수동,가수주공,매매,103동,4/5,170000000,52.5,OWNER,세끼고 수리됨 앞동 로얄 기보증금 8천 갭투가능,25.03.08,"['25년이상', '소형평수', '방세개', '화장실한개']",남향,10704446.666666666
경기도,오산시,가수동,가수주공,전세,103동,4/5,100000000,52.5,DOCV2,"샷시,싱크대, 화장실등 특인테리어됨, 입주조율가",25.03.12,"['25년이상', '소형평수', '방세개', '화장실한개']",남향,6296733.333333334
경기도,오산시,가수동,가수주공,매매,103동,5/5,170000000,52.5,DOC,올리모델링샤시.욕실.씽크대.도배장판.현관무.페인팅기타된재건축기대매물,25.03.13,"['25년이상', '화장실한개', '소형평수', '탑층']",남향,10704446.666666666
경기도,오산시,가수동,가수주공,월세,103동,5/5,500/30,52.5,DOC,공실 수리안됨 1000에 25가능 최근보일러 교체,25.03.12,"['25년이상', '보일러교체', '소형평수', '탑층']",남향,
경기도,오산시,가수동,가수주공,월세,113동,1/5,500/45,52.5,OWNER,씽크대 교체 이번에 도배장판 새로해줌 노약자있는집 추천,25.02.28,"['25년이상', '1층', '소형평수', '방두개']",남향,
경기도,오산시,가수동,가수주공,매매,103동,5/5,190000000,52.5,NDOC1,2년전 올수리 샤시제외올수리 1억 세끼고 매매 투자물건으로 좋아요,25.02.27,"['25년이상', '올수리', '소형평수', '탑층']",남동향,11963793.333333334
경기도,오산시,가수동,가수주공,매매,113동,1/5,170000000,52.5,DOC,내부전체  수리해놓음  화장실   생크대  도배장판  등,25.03.08,"['25년이상', '1층', '소형평수', '방세개']",남향,10704446.666666666
경기도,오산시,가수동,가수주공,월세,113동,5/5,500/35,52.5,OWNER,보증금500에 35만원가능o바로입주가능 집상태 깨끗해요,25.02.24,"['25년이상', '융자금없는', '소형평수', '탑층']",남동향,
경기도,오산시,가수동,가수주공,매매,113동,1/5,155000000,52.5,DOC,20263월만기임대투자.남향1층으로밝은집.재건축기대감의급매가투자매수강추,25.02.26,"['25년이상', '1층', '급매', '화장실한개']",남향,9759936.666666668
경기도,오산시,가수동,가수주공,월세,103동,5/5,500/40,52.5,NONE,,25.03.15,"['25년이상', '소형평수', '탑층', '방세개']",남향,
경기도,오산시,가수동,가수주공,매매,113동,5/5,165000000,52.5,NONE,,25.03.06,"['25년이상', '소형평수', '탑층', '방세개']",남향,10389610.0
경기도,오산시,가수동,가수주공,월세,114동,1/5,"2,000/30",52.5,NONE,,25.03.04,"['25년이상', '융자금없는', '1층', '소형평수']",남향,
경기도,오산시,가수동,가수주공,월세,113동,1/5,500/45,52.5,NONE,,25.02.23,"['25년이상', '1층', '소형평수', '방세개']",남향,
경기도,오산시,가수동,가수주공,월세,106동,2/5,500/37,45.51,DOC,이번에 씽크대 도배 장판 새로 함 공실 선호층,25.03.11,"['25년이상', '소형평수', '방두개', '화장실한개']",남향,
경기도,오산시,가수동,가수주공,매매,110동,3/5,155000000,45.51,OWNER,샷시교체 씽크대교체 화장실 부분수리 선호층 주인거주 깨끗 이사협의,25.02.26,"['25년이상', '소형평수', '방두개', '화장실한개']",남향,11258990.88112503
경기도,오산시,가수동,가수주공,월세,110동,1/5,500/40,45.51,DOC,,25.03.08,"['25년이상', '융자금없는', '1층', '소형평수']",남향,
경기도,오산시,가수동,가수주공,매매,107동,2/5,150000000,45.51,OWNER,전세안고 투자자능o선호도 높은2층입니다,25.02.21,"['25년이상', '소형평수', '방한개', '화장실한개']",남동향,10895797.62689519
경기도,오산시,가수동,가수주공,매매,106동,5/5,170000000,45.51,NDOC1,최근에 샤시교체 씽크대교체 재건축호재 안전진단추진중 투자가치좋음,25.02.17,"['25년이상', '소형평수', '탑층', '방한개']",남동향,12348570.643814547
경기도,오산시,가수동,가수주공,매매,106동,4/5,140000000,45.51,DOC,가격저렴 외부샷시 집상태 깨끗해요,25.02.26,"['25년이상', '소형평수', '방두개', '화장실한개']",남향,10169411.11843551
경기도,오산시,가수동,가수주공,매매,116동,고/5,154000000,45.51,DOC,"월세 안고 매매, 세교2지구 바로 옆, 뒷편에 가감이산",25.03.04,"['25년이상', '소형평수', '방두개', '화장실한개']",남향,11186352.23027906
