Sido,Gungu,Dong,ComplexName,Trade Type,Building Name,Floor Info,Price (Numeric),Area,Owner,Desc,RegDate,Tag,Direction,PPA
경기도,화성시,기산동,SK뷰파크2차,매매,203동,13/21,600000000,112.2,OWNER,"전세안고,로얄동층,실거주투자추천,초중인접동,병점능동상권,역버스이용",25.04.12,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,17677994.65240642
경기도,화성시,기산동,SK뷰파크2차,매매,211동,2/22,570000000,112.2,OWNER,"능동역호재,관리잘된주인세대,막힘없는뷰,세련된구조,붙박이장중문,조명교체",25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,16794094.919786096
경기도,화성시,기산동,SK뷰파크2차,매매,203동,12/21,600000000,112.2,OWNER,빠른 이사가. 시원한 뷰 초등학교 초근접 안심통학 인동선 수혜단지,25.04.08,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,17677994.65240642
경기도,화성시,기산동,SK뷰파크2차,매매,212동,1/18,620000000,112.2,OWNER,층간소음걱정없고 층고높은1층  동탄이용편리한로얄동 세련된타워형구조,25.04.07,"['10년이내', '대단지', '1층', '방세개']",남서향,18267261.140819963
경기도,화성시,기산동,SK뷰파크2차,매매,204동,중/22,700000000,112.2,OWNER,"전세안고매매. 뷰맛집,투자굿, 탁트인뷰, 개발호재는 옵션, 넓은 작은방.",25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,20624327.094474155
경기도,화성시,기산동,SK뷰파크2차,매매,212동,중/18,570000000,112.2,OWNER,탁트인뷰 시스템에어컨 모던하고 세련된구조 햇살풍부 입주협의,25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,16794094.919786096
경기도,화성시,기산동,SK뷰파크2차,매매,203동,20/21,650000000,112.2,OWNER,"햇빛잘드는 막힘없는뷰,주인거주로 관리잘된집,입주협의",25.04.05,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,19151160.873440284
경기도,화성시,기산동,SK뷰파크2차,매매,203동,고/21,600000000,112.2,OWNER,"세련된 타워형구조, 확트인 조망,  초등인접동, 신도시 수혜단지",25.04.10,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,17677994.65240642
경기도,화성시,기산동,SK뷰파크2차,매매,211동,16/22,610000000,112.2,OWNER,"주인거주상태최상,엘베2대,막힘없는뷰,햇살가득,초중고인접",25.04.02,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,17972627.89661319
경기도,화성시,기산동,SK뷰파크2차,매매,204동,고/22,600000000,112.2,OWNER,8부터입협의편리. 확트인뷰. 동인선 도보10분이내 지하철공사중. 조정가.,25.04.05,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,17677994.65240642
경기도,화성시,기산동,SK뷰파크2차,매매,212동,고/18,650000000,112.2,OWNER,"막힘없는뷰, 햇살가득한세대, 컨디션좋음, 대중교통이용편리함, 입주협의",25.03.28,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,19151160.873440284
경기도,화성시,기산동,SK뷰파크2차,매매,211동,저/22,600000000,112.2,OWNER,탁트인뷰 모던하고 세련된구조 초등인접동 입주협의,25.03.27,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,17677994.65240642
경기도,화성시,기산동,SK뷰파크2차,매매,203동,중/21,600000000,112.2,OWNER,전세안고 관리잘된집 세련된 타워형구조 확트인 조망  입주협의가능,25.03.26,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,17677994.65240642
경기도,화성시,기산동,SK뷰파크2차,매매,204동,고/22,650000000,112.2,OWNER,"o추천o채광좋고 시원하게 탁트인뷰, 중문, 탄성",25.03.25,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,19151160.873440284
경기도,화성시,기산동,SK뷰파크2차,전세,203동,고/21,400000000,112.2,OWNER,로얄동로얄층.탁트인타워형구조.통풍굿.초등인접.주인거주로 집상태깨끗.,25.03.21,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,11785329.768270945
경기도,화성시,기산동,SK뷰파크2차,전세,212동,중/18,400000000,112.2,OWNER,"엘베2대로 편한생활, 시원하게 트인뷰, 타워형구조타입, 깨끗하게관리.",25.03.21,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,11785329.768270945
경기도,화성시,기산동,SK뷰파크2차,매매,203동,저/21,700000000,112.2,OWNER,풍부한채광 초중인접동 모던한 타워형 주인거주 입주협의,25.03.17,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,20624327.094474155
경기도,화성시,기산동,SK뷰파크2차,매매,202동,21/24,780000000,111.91,OWNER,"햇살좋은 막힘없는 뷰, 추천탑층.주인거주 관리 깨끗.입주협의.통풍햇살굿.",25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,23040946.29613082
경기도,화성시,기산동,SK뷰파크2차,매매,206동,16/24,800000000,111.91,OWNER,"햇살좋은 남향.로얄동,로얄층.인기있는 판상형.주인거주 관리잘된최상의집.",25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남향,23631739.790903408
경기도,화성시,기산동,SK뷰파크2차,매매,202동,19/24,680000000,111.91,OWNER,밝고 환한집 귀한탑층 풍부한 채광 관리잘된집 입주협의,25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남향,20086978.822267897
경기도,화성시,기산동,SK뷰파크2차,매매,204동,20/22,630000000,111.91,OWNER,"로얄층, 전망굿, 정남향",25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남향,18609995.08533643
경기도,화성시,기산동,SK뷰파크2차,매매,205동,21/23,650000000,111.91,OWNER,"RR  층간소음없는 탑층, 환하고 밝은집 판상형 입주협의",25.04.10,"['10년이내', '대단지', '방세개', '화장실두개']",남향,19200788.580109015
경기도,화성시,기산동,SK뷰파크2차,매매,204동,고/22,595000000,111.91,OWNER,"o최선호 판상형o 정남향,로얄동로얄층,단독사용하는넓은전실.엘베2대.",25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남향,17576106.469484407
경기도,화성시,기산동,SK뷰파크2차,월세,206동,저/24,1억/140,111.91,OWNER,트인 뷰.주차편리한 동.상가이용 편리한 동. 인기좋은 4bay판상형,25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,
경기도,화성시,기산동,SK뷰파크2차,매매,204동,중/22,610000000,111.91,OWNER,단독사용하는넓은전실 채광좋은남향  엘베2대 주인거주  입주협의,25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남향,18019201.590563845
경기도,화성시,기산동,SK뷰파크2차,매매,210동,고/23,610000000,111.91,OWNER,"입주협의,일조량좋관리잘된집,동인선착공완료,초중고인접,대중교통편리",25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,18019201.590563845
경기도,화성시,기산동,SK뷰파크2차,매매,212동,고/18,650000000,111.91,OWNER,,25.04.11,"['10년이내', '대단지', '방세개', '화장실두개']",남향,19200788.580109015
경기도,화성시,기산동,SK뷰파크2차,매매,211동,21/22,850000000,111.91,OWNER,귀한탑층 단독사용하는넓은복도 엘베2대 판상형구조 동탄뷰예쁜정남향 입주협의,25.04.04,"['10년이내', '대단지', '방세개', '화장실두개']",남향,25108723.52783487
경기도,화성시,기산동,SK뷰파크2차,매매,201동,중/24,670000000,111.91,OWNER,햇살좋은집 예쁜단지뷰 안방옆드레스룸 주차이용편리 정상입주,25.04.10,"['10년이내', '대단지', '방세개', '화장실두개']",남서향,19791582.074881606
경기도,화성시,기산동,SK뷰파크2차,월세,210동,저/23,"5,000/145",111.91,OWNER,"귀한월세, 인기4bay판상형, 세대컨디션매우좋음, 추천매물",25.04.10,"['10년이내', '대단지', '방세개', '화장실두개']",남향,
경기도,화성시,기산동,SK뷰파크2차,매매,211동,고/22,650000000,111.91,OWNER,"입주협의, 막힘없는뷰, 전실공간독점, 엘베2, 기본인테리어됨",25.04.10,"['10년이내', '대단지', '방세개', '화장실두개']",남향,19200788.580109015
